id,age,sex,race,hispanic,born,degree,marital,childs,wrkstat,income16,class,relig,attend,partyid,polviews,region,weight
1993,62,male,white,not hispanic,yes,high school,divorced,1,other,"$15,000 to $17,499",lower class,none,never,"independent, close to republican",slightly liberal,northeast,0.327
1994,30,male,white,not hispanic,yes,high school,divorced,3,keeping house,,working class,other,several times a year,"independent (neither, no response)","moderate, middle of the road",northeast,1.5036
1995,89+,female,white,not hispanic,yes,graduate,widowed,4,retired,"$60,000 to $74,999",working class,protestant,,strong republican,conservative,northeast,1.1436
1996,55,female,white,not hispanic,yes,associate/junior college,married,2,working part time,"$50,000 to $59,999",working class,protestant,about once a month,strong democrat,"moderate, middle of the road",northeast,2.3665
1997,67,female,white,not hispanic,yes,high school,widowed,0,retired,"$10,000 to $12,499",lower class,other,never,"independent (neither, no response)","moderate, middle of the road",northeast,0.2647
1998,32,female,white,not hispanic,yes,graduate,never married,0,working full time,"$60,000 to $74,999",middle class,protestant,about once or twice a year,"independent (neither, no response)",slightly liberal,northeast,0.2394
1999,60,female,white,not hispanic,yes,bachelor's,widowed,6,keeping house,,lower class,none,about once or twice a year,"independent (neither, no response)","moderate, middle of the road",northeast,1.2421
2000,43,male,white,not hispanic,yes,high school,married,2,working full time,"$90,000 to $109,999",working class,none,never,not very strong republican,conservative,northeast,0.6419
2001,66,female,white,not hispanic,yes,high school,married,3,retired,,working class,catholic,about once or twice a year,"independent (neither, no response)","moderate, middle of the road",northeast,0.5947
2002,62,male,white,not hispanic,yes,bachelor's,married,4,working full time,"$60,000 to $74,999",working class,none,less than once a year,"independent (neither, no response)",slightly conservative,northeast,0.65
2003,46,male,white,not hispanic,yes,high school,married,3,working full time,"$90,000 to $109,999",lower class,none,never,"independent (neither, no response)",conservative,northeast,1.5675
2004,71,female,white,not hispanic,yes,less than high school,widowed,0,retired,,,catholic,never,"independent (neither, no response)",,northeast,0.657
2005,35,male,other,"another hispanic, latino, or spanish origin",no,less than high school,married,2,working full time,"$60,000 to $74,999",working class,catholic,every week,not very strong democrat,conservative,northeast,1.5893
